id	job_description	education	experience	job	url
1	Overview: You will support the Clinical Services Planning & Integration (CSPI) Division, including specialist and primary/community care co-leads. You will work with other internal and external stakeholders to facilitate and manage the development of cross-sectoral, end-to-end care plans for NUHS Population Health Strategy 6 (pathways for conditions with significant disease burden). Job Responsibilities: Support project management oversight for nursing home support. Provide operations and administrative support to the team lead to manage the P6A project. Support the operations and the roll-out of P6A initiatives in Nursing Homes. Support the planning, evaluation, and review of the program, including data collection and analysis. Keep abreast of the development of EOL projects in nursing homes. Work with relevant community partners to facilitate the project. Support the development and implementation of service agreements and submit budget/work plans and reports. Track and coordinate the funding reimbursement & paperwork. Maintain updates and alignment to national and NUHS plans, protocols, and guidance. Meeting & Engagements: Organize and coordinate meetings and engagements with internal and external stakeholders. Draft minutes and follow up on matters arising. Reports to management and committee. Work with internal and external stakeholders to collate information and submit regular reports required by management or committees. Any other tasks as assigned. Requirements: Qualification Required and Area of Discipline. Good degree in any discipline, preferably in Life Sciences, Business Administration, etc. Required Competencies and Capabilities (Skills, Experiences, and Professional Licenses): 3-4 years of working experience, preferably in healthcare. Possess confidence to work with internal and external stakeholders of different levels. Ability to multi-task and work under tight timelines. Good analytical and organization skills. Good writing, communication, problem-solving, and presentation skills.	The ideal candidate for the Clinical Services Planning & Integration (CSPI) Division role should possess a good degree in any discipline, preferably in Life Sciences or Business Administration.	With 3-4 years of experience, preferably in healthcare, the candidate should demonstrate proficiency in project management oversight, particularly in nursing home support, and have a strong background in operations and administrative support for healthcare projects. The role requires familiarity with end-to-end care plans and NUHS Population Health Strategy 6, showcasing experience in planning, evaluating, and reviewing programs, including data collection and analysis. Knowledge of end-of-life (EOL) projects in nursing homes is essential. The candidate must excel in working with internal and external stakeholders of different levels, possess strong multitasking abilities, and be capable of working under tight timelines. Excellent analytical, organizational, writing, communication, problem-solving, and presentation skills are crucial. Additionally, experience in drafting minutes, coordinating meetings, engaging with stakeholders, developing service agreements, and tracking funding reimbursement is desired. The candidate should also be adept at maintaining updates and alignment with national and NUHS plans, protocols, and guidance.	Assistant Manager, Clinical Services Planning & Integration	https://www.nuhscareers.edu.sg/job/Assistant-Manager%2C-Clinical-Services-Planning-&-Integration/15293444/
2	Primary Responsibilities and Duties (80%): Assess patients' needs on admission and daily throughout their hospital stay. Plan and implement patient care according to the assessed needs. Evaluate and monitor patients' progress according to the planned care. Document care and monitor outcomes on the established charts/forms. Carry out treatments and investigations as prescribed by physicians. Communicate and discuss patients' progress and response to treatment with physicians, nursing, and allied health colleagues involved in patient care. Participate actively in physicians' rounds. Deliver safe and competent nursing care. Prepare and assist physicians with procedures done on patients. Follow up to ensure continuity of patient care and treatment plans. Collaborate and cooperate with physicians and other healthcare providers in the smooth delivery of patient care and services. Demonstrate clinical skills, knowledge, and critical thinking in the delivery of patient care. Display compassion, a positive and caring attitude towards patients as well as internal and external clients. Provide patient/family information and education on disease prevention, health education, and rehabilitation techniques. Demonstrate proper use and care of equipment. Demonstrate proper and economical usage of consumables and supplies. Maintain a clean and safe working environment. Precept and coach new/junior staff in their work, as well as nursing students on posting. Assume the role of Staff Nurse in-charge/Deputy Nurse Manager. Facilitate team dynamics and the smooth running of activities in the ward/dept. Manage complex patient care. Support new initiatives/lead changes implemented by the Nursing Administration. Demonstrate competency in all core competencies and unit-specific programs implemented by Nursing Administration. Secondary Responsibilities and Duties (20%): Initiate and participate in case conferences between patients/family, physicians, and/or other healthcare professionals on complex patient care management. Manage the public relations aspects of the ward/dept. Prepare roster and daily staff assignments for the ward/dept. Evaluate staff performance appraisal with Nurse Manager. Participate in research, clinical, or service quality activities. Demonstrate awareness of current nursing and healthcare practices. Assume additional responsibilities as assigned by Nursing Officers, Senior Nursing Officers, Assistant/Deputy Director (Nursing), and Chief Nurse. Requirements: Registered Nurse. Diploma in Nursing or Degree Nursing from a recognized training institution as approved by the Singapore Nursing Board. At least 1 year of post-registration clinical experience as Staff Nurse II. Possess good interpersonal and communication skills.	The candidate for the nursing position should be a Registered Nurse with a Diploma in Nursing or a Degree in Nursing from a recognized training institution as approved by the Singapore Nursing Board.	With at least 1 year of post-registration clinical experience as Staff Nurse II, the candidate should possess the necessary skills and knowledge to fulfill the primary responsibilities and duties outlined in the job description. This includes assessing patients' needs, planning and implementing patient care, evaluating progress, documenting care, carrying out treatments and investigations, participating in physicians' rounds, and delivering safe and competent nursing care. The candidate should also demonstrate the ability to manage complex patient care, support new initiatives, and lead changes implemented by the Nursing Administration. Secondary responsibilities and duties involve initiating and participating in case conferences, managing public relations aspects of the ward/department, preparing rosters and staff assignments, evaluating staff performance, participating in research or clinical activities, and demonstrating awareness of current nursing and healthcare practices. Good interpersonal and communication skills are essential for effective collaboration with patients, families, physicians, and healthcare colleagues.	Senior/Staff Nurse, Cancer Centre	https://www.nuhscareers.edu.sg/job/SeniorStaff-Nurse%2C-Cancer-Centre/6430544/
3	Job Responsibilities: The incumbent shall be responsible to: Assume accountability and responsibility to provide an enhanced standard of care through assessment, planning, implementation, and evaluation of patient outcomes. Work alongside the clinicians and assist with clinical procedures that will meet critically ill patients' health needs and care demands. Collaborate and discuss with the multidisciplinary team on the desired health outcomes that can be achieved for critically ill patients. Provide and observe the safe management of advanced forms of respiratory support, invasive monitoring, and drug infusions. Assess patients' and the family's adaptation levels and coping skills to determine if any intervention is needed. Job Requirements: Registered with SNB (Singapore Nursing Board). Degree or Diploma in Nursing or State Registered Nurse Certificate. Relevant Advanced Nursing Diploma or equivalent is preferred. If applying for a Senior Staff Nurse position, be a good team player, analytical, insightful, systematic, highly-motivated, and possess leadership capabilities.	The candidate for this role should be registered with the Singapore Nursing Board (SNB) and possess either a Degree or Diploma in Nursing or a State Registered Nurse Certificate. Additionally, a relevant Advanced Nursing Diploma or equivalent is preferred, especially for those applying for a Senior Staff Nurse position.	The incumbent is expected to assume accountability and responsibility for providing an enhanced standard of care through the assessment, planning, implementation, and evaluation of patient outcomes. The role involves working alongside clinicians to assist with clinical procedures for critically ill patients, collaborating with the multidisciplinary team, and providing safe management of advanced forms of respiratory support, invasive monitoring, and drug infusions. The candidate should also possess the ability to assess patients' and families' adaptation levels and coping skills, intervening as needed. For those applying for a Senior Staff Nurse position, being a good team player, analytical, insightful, systematic, highly motivated, and having leadership capabilities are essential requirements.	Senior / Staff Nurse (Intensive Care Unit) 	https://www.nuhscareers.edu.sg/job/Senior-Staff-Nurse-%28Intensive-Care-Unit%29/4497844/
4	Job Responsibilities: Perform physiological and physical assessment of patients upon arrival to PACU (Post-Anesthesia Care Unit). Assess the patient's level of comfort and administer analgesics as ordered by the anaesthetist. Perform Nurse Led Discharge for post-operative patients. Arrange for beds for patients upon arrival to PACU. Perform handover of patient information to Courier Nurse upon discharge. Promote and maintain a safe, clean, comfortable, and therapeutic environment for patients, staff, and visitors. Collaborate and cooperate with other surgical team members and healthcare workers in the smooth delivery of patient care and services. Perform a systematic and continuous assessment of patients in the immediate post-anesthesia period. Develop and implement nursing care based on the analysis of individualized patient assessment. Deliver safe and competent nursing care to surgical patients in the immediate post-anesthesia period. Communicate, document, and evaluate the patient's plan of care. Handle controlled drugs as per hospital policy (applicable to RN). Promote and maintain a safe, comfortable, and therapeutic environment for patients, staff, and visitors. Perform nurse-led monitoring for cataract cases. Requirements: Registered Nurse with the Singapore Nursing Board (SNB). At least 2 years of working experience in the Anaesthetic Unit/Post-Anesthesia Care Unit is highly preferred. Diploma or Degree in Nursing from recognized training institutions approved by SNB. Good interpersonal and communication skills. Compassionate, positive, and caring nature. Prepared to work on 3 rotating shifts.	The ideal candidate for this position should be a Registered Nurse with the Singapore Nursing Board (SNB) and hold a Diploma or Degree in Nursing from recognized training institutions approved by SNB.	A minimum of 2 years of working experience in the Anaesthetic Unit/Post-Anesthesia Care Unit is highly preferred. The candidate should demonstrate the ability to perform physiological and physical assessments of patients upon arrival to the PACU, administer analgesics as ordered, conduct Nurse Led Discharge for post-operative patients, arrange beds, and perform handovers to Courier Nurses. Skills in systematic and continuous patient assessment, development and implementation of nursing care plans based on individualized patient assessments, and delivery of safe and competent nursing care in the immediate post-anesthesia period are essential. The candidate should be familiar with handling controlled drugs as per hospital policy (applicable to RN). Good interpersonal and communication skills, along with a compassionate, positive, and caring nature, are crucial for collaborating with surgical team members, healthcare workers, and providing a safe and therapeutic environment. The candidate should also be prepared to work on 3 rotating shifts. 	Senior / Staff Nurse (Post Anaesthesia Care Unit (PACU) / Anaesthesia Nurse) 	https://www.nuhscareers.edu.sg/job/Senior-Staff-Nurse-%28Post-Anaesthesia-Care-Unit-%28PACU%29-Anaesthesia-Nurse%29/5697444/ 
5	Job Responsibilities: Implements protective measures to prevent injury due to chemical, electrical, laser, mechanical, radiation, and thermal sources. Transports the patient according to individual needs and evaluates for signs and symptoms of skin and tissue injury related to transfer or transport. Determines the need for, prepares, applies, and removes devices designed to enhance operative exposure, prevent neuromuscular injury, maintain skin and tissue integrity, and maintain body alignment and optimal physiological functioning. Uses supplies and equipment within safe parameters. Performs required counts ensuring that the patient is free from injury related to retained sponges, instruments, and sharps. Evaluates for signs and symptoms of chemical, electrical, laser, physical, and radiation injury and injury to skin and tissue. Contributes to minimizing operative time by anticipation and advanced preparation, working with team members to coordinate efforts to prioritize the patient's care, and efficiently accomplishing tasks necessary to achieve a common goal. Implements aseptic technique (e.g., creating and maintaining a sterile field, applying basic methodologies to prevent contamination of open wounds, and isolating the operative site from the surrounding non-sterile physical environment). Initiates infection prevention activities. Manages the collection, handling, and disposition of culture and specimens. Administers prescribed medications and solutions according to hospital policy. Requirements: Registered Nurse with the Singapore Nursing Board (SNB). At least 2 years of Operating Theatre experience is highly preferred. Diploma or Degree in Nursing from recognized training institutions approved by SNB. Good interpersonal and communication skills. Compassionate, positive, and caring nature. Prepared to work on 3 rotating shifts.	The candidate for this position should be a Registered Nurse with the Singapore Nursing Board (SNB) and hold a Diploma or Degree in Nursing from recognized training institutions approved by SNB.	A minimum of 2 years of Operating Theatre experience is highly preferred. The candidate should be proficient in implementing protective measures to prevent injuries related to various sources such as chemical, electrical, laser, mechanical, radiation, and thermal sources. Responsibilities include transporting patients according to individual needs, evaluating signs and symptoms of skin and tissue injury during transfers, preparing and applying devices for operative exposure, preventing neuromuscular injury, maintaining skin and tissue integrity, and ensuring optimal physiological functioning. The candidate should be skilled in using supplies and equipment within safe parameters, performing required counts to prevent retained items, and evaluating signs of injury related to various sources. Efficiency in minimizing operative time through anticipation and advanced preparation, coordination with team members, and prioritizing patient care is essential. The candidate should implement aseptic technique, initiate infection prevention activities, and manage the collection, handling, and disposition of cultures and specimens. Administering prescribed medications and solutions according to hospital policy is also part of the responsibilities. Good interpersonal and communication skills, along with a compassionate, positive, and caring nature, are crucial for collaborative efforts in the operating theatre environment. The candidate should be prepared to work on 3 rotating shifts. 	Senior / Staff Nurse (Perioperative Nurse) 	https://www.nuhscareers.edu.sg/job/Senior-Staff-Nurse-%28Perioperative-Nurse%29/5697544/
6	Job Responsibilities: The incumbent shall be responsible to: Coordinate patient care needs with team members and the endoscopists. Prepare the setting in readiness by procuring appropriate equipment and supplies. Adhere to infection control standards when in contact with sterile or contaminated equipment/instruments. Work alongside the endoscopist and anticipate their needs. Monitor and document patient care and parameters throughout the procedure and during the observation in the recovery room. Evaluate the care given during each phase of the procedure. Respond to emergency clinical situations and mobilize assistance promptly. Transfer/discharge the patient after an appropriate period of observation and if the discharge criteria are met. Implement transfer/discharge plans and interventions where necessary. Liaise with wards, as necessary upon completion of the procedure/endoscopy. Job Requirements: Candidate must be registered with SNB (Singapore Nursing Board). Diploma in Nursing or State Registered Nurse Certificate. At least 1 year of experience as a Staff Nurse in the relevant discipline. Relevant Advanced Nursing Diploma or equivalent is preferred for candidates applying for Senior Staff Nurse positions.	The candidate for this position should be registered with the Singapore Nursing Board (SNB) and possess either a Diploma in Nursing or a State Registered Nurse Certificate.	A minimum of 1 year of experience as a Staff Nurse in the relevant discipline is required. The candidate is responsible for coordinating patient care needs with team members and endoscopists, preparing the setting with appropriate equipment and supplies, adhering to infection control standards, and working alongside endoscopists while anticipating their needs. Monitoring and documenting patient care and parameters throughout the procedure and during recovery, evaluating care given at each phase, and responding to emergency clinical situations are key responsibilities. The candidate should be capable of transferring or discharging patients after appropriate observation, implementing transfer/discharge plans and interventions, and liaising with wards as necessary post-procedure. For those applying for Senior Staff Nurse positions, a relevant Advanced Nursing Diploma or equivalent is preferred. Good interpersonal and communication skills are crucial for effective coordination and collaboration within the team. 	Senior / Staff Nurse (Endoscopy) 	https://www.nuhscareers.edu.sg/job/Senior-Staff-Nurse-%28Endoscopy%29/4498044/
7	Summary: As a Dental Surgeon in the National University Polyclinics, you will be part of the larger NUHS system with an active role in developing an end to end approach to meet the challenges of an aging population and increasing demand for dental services. You will be part of the clinical team to provide dental services to the patients. You will work closely with the dental, operations, nursing and medical teams. Roles include clinical management of patients, education and research activities and planning of services. You will play a key role in a new model of clinical care, training of future generations of oral healthcare professionals and health services research projects. Job Requirements: A basic dental degree from Singapore e.g. BDS, or dental degree recognised by the Singapore Dental Council. At least 4 years of post-graduate experience. Desire to expand knowledge from both a clinical and administrative perspective, including management and leadership skills. Possess good interpersonal and people management skills. Any other responsibilities assigned by Dental Head or Director of Dental Services.	The ideal candidate for the Dental Surgeon position at the National University Polyclinics should possess a basic dental degree from Singapore, such as BDS, or a dental degree recognized by the Singapore Dental Council.	The candidate should have a minimum of 4 years of post-graduate experience in the dental field. The role involves actively participating in the development of an end-to-end approach to address the challenges posed by an aging population and the increasing demand for dental services within the larger NUHS system. Responsibilities include clinical management of patients, engagement in education and research activities, and collaborative planning of services with dental, operations, nursing, and medical teams. The candidate is expected to contribute to a new model of clinical care, participate in the training of future generations of oral healthcare professionals, and engage in health services research projects. Additionally, the candidate should demonstrate a desire to expand knowledge from both clinical and administrative perspectives, showcasing management and leadership skills. Good interpersonal and people management skills are essential, and the candidate should be open to undertaking any other responsibilities assigned by the Dental Head or Director of Dental Services. 	Dental Surgeon 	https://www.nuhscareers.edu.sg/job/Dental-Surgeon/4542344/
8	Summary: You will be part of the HR shared service team that provides HR operational support to all NUHS institutions in accordance with our service level agreements (SLA) and key performance indicators (KPIs).  The scope of HR operational support covers the entire end-to-end employee lifecycle administration ranging from onboarding through to employment contract management and offboarding. Job Responsibilities: Responsible for work processes that involve application to and liaison with the Singapore Nursing Board so that nurses can start work with institutions or transfer employment across institutions under the NUHS Cluster. Ensure documents and data in HR systems are maintained accurately based on agreed procedures and team standards. Ensure that services are delivered in compliance with NUHS HR policies and Singapore legislation requirements. Deliver support that consistently meet the service level agreements (SLA) and key performance indicators (KPIs). Actively participate in process improvement initiatives and support organisational changes that are introduced. Any other duties deemed reasonable and necessary by the management. Candidate Requirements: Diploma in Human Resource or Business-related discipline. IT savvy and comfortable with the use of Microsoft Office applications. Minimum 2 years of relevant HR experience. Prior HR shared services experience in large scale corporations or the healthcare sector will be an added advantage. Able to manage high-volume activities and handle data confidentiality. Able to work under tight timeline and respond to changing priorities. Able to work effectively in a performance-driven environment and collaborate well with stakeholders. Proactively look out for opportunities to enhance work efficiency and effectiveness. Able to think on your feet, problem solve effectively and respond positively to changing priorities. Organised, meticulous and proactive. A team player with good interpersonal skills. Open to changes in job portfolio within HR shared service team due to re-organisation, resource allocation re-prioritisation and demonstrated strengths and growth potential.	The candidate should have a Diploma in Human Resource or a Business-related discipline.	A minimum of 2 years of relevant HR experience is required. Prior experience in HR shared services, especially in large-scale corporations or the healthcare sector, will be considered an added advantage. The candidate should be adept at managing high-volume activities, handling data confidentiality, working under tight timelines, and responding to changing priorities. The ability to work effectively in a performance-driven environment and collaborate well with stakeholders is essential. Proactive in identifying opportunities to enhance work efficiency, the candidate should be able to think on their feet, problem-solve effectively, and demonstrate a positive response to changing priorities. Organizational, meticulous, and proactive qualities are desired, along with good interpersonal skills and openness to changes in the job portfolio within the HR shared service team due to re-organization, resource allocation re-prioritization, and demonstrated strengths and growth potential. 	Senior Executive Assistant, Human Resource Office 	https://www.nuhscareers.edu.sg/job/Senior-Executive-Assistant%2C-Human-Resource-Office/17590144/
9	Overview: Join the NUHS Group Chief Technology Office (GCTO) that advocates flexible and innovative working culture. Successful candidate will be part of a team of Data Scientists, Software Developers and practitioners who partner clinicians to propose, develop, and deploy advanced Artificial Intelligence / machine learning models and pipelines to augment clinical workflows for NUHS Cluster in hybrid cloud environment. The candidate will also ensure the adequacy and effectiveness of the models, applications and tools for NUHS. Key Responsibilities: Research and development of machine learning models to process clinical data. Development, training and testing of AI models in the local medical domain. Work with the team to deploy the AI models in hybrid cloud environment. Work with the software development team to deliver AI products. Documentation clearly explaining how the algorithms have been implemented, verified and validated. Requirements: Bachelor’s degree in bioinformatics, statistics, computer science or related fields with good machine learning skills and software development skills. Hands-on experience on development of AI models in areas such as NLP, imaging, speech, etc. Proficient with Python and AI related frameworks (such as scikit-learn, tensorflow, pytorch, etc.). Knowledge in machine learning platform and services from cloud provider such as AWS, GCP and Azure. Knowledge in big data technologies including cloud computing is plus. Background in or exposure to healthcare data is a plus. Good problem-solving skills. Good written and verbal communication skills.	The ideal candidate for this role should possess a Bachelor's degree in bioinformatics, statistics, computer science, or a related field with strong machine learning skills and software development skills.	The candidate should have hands-on experience in developing AI models, particularly in areas such as NLP, imaging, speech, etc. Proficiency in Python and familiarity with AI-related frameworks such as scikit-learn, TensorFlow, and PyTorch is essential. The candidate should have practical knowledge of machine learning platforms and services from cloud providers like AWS, GCP, and Azure. Additionally, experience or knowledge in big data technologies, including cloud computing, would be advantageous. A background in or exposure to healthcare data is considered a plus. Good problem-solving skills and effective written and verbal communication skills are essential for success in this role. The candidate will be part of the NUHS Group Chief Technology Office, working in a flexible and innovative culture, collaborating with a team of Data Scientists, Software Developers, and practitioners to research, develop, and deploy advanced AI/ML models in a hybrid cloud environment to augment clinical workflows for NUHS Cluster. 	Senior Executive, AIO Biomedical Informatics Office 	https://www.nuhscareers.edu.sg/job/Senior-Executive%2C-AIO-Biomedical-Informatics-Office/17615744/
10	The Opportunity: We are looking for Ward Service Associate to join us for various disciplines to provide high quality patient care. Job Responsibilities: Provide excellent customer service to the patients. Serving of food and drinks to patients and clearing it once patients have finished their meals. Checking food served against patient meal orders. Assist in inventory management. Maintain a high standard of cleanliness in and around workstation and strictly abide with health/sanitation regulations. Assist nurses to meet patient's nutritional needs. Maintains levels of confidentiality and discretion of the patients. Any other ad-hoc duties as assigned by Manager. Job Requirement: Has a passion for healthcare. Min GCE N level or its equivalent. Experience in Food & Beverages will be an advantage. Candidates who do not have the relevant experience but have a passion for the healthcare industry are welcome to apply. Possess excellent customer service with a can-do attitude. Self-motivated, independent, proactive and ability to work cohesively with fellow team members as part of a team. Basic computer literacy. Able to work from 11am to 7pm with rotational weekends, which includes one Saturday or Sunday a week to meet operational needs. Able to work on public holidays	Minimum GCE N level or its equivalent.	Experience in Food & Beverages will be an advantage. Candidates without relevant experience but with a passion for the healthcare industry are welcome to apply. 	Ward Service Associate (Food Service) 	https://www.nuhscareers.edu.sg/job/Ward-Service-Associate-%28Food-Service%29/15251644/
